run_key,dataset_name,seed,setting_id,setting_name,model_name,label_noise,missing_rate,imbalance_level,missing_mechanism,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
wdbc__seed0__setting1__ExtraTrees__mnar,wdbc,0,1,noise_only,ExtraTrees,0.2,0.0,natural,mnar,0.4645,426,85,0.9300699300699301,0.9405660377358491,0.9270705834353326,0.930897336038095,0.8604553848130698,0.9811320754716981
wdbc__seed0__setting1__HistGradientBoosting__mnar,wdbc,0,1,noise_only,HistGradientBoosting,0.2,0.0,natural,mnar,0.3424,426,85,0.8811188811188811,0.8784067085953878,0.8739957497537967,0.8817473927099179,0.7488492041485524,0.8679245283018868
wdbc__seed0__setting1__XGBoost__mnar,wdbc,0,1,noise_only,XGBoost,0.2,0.0,natural,mnar,0.4781,426,85,0.916083916083916,0.9216981132075472,0.9119458128078818,0.9168848392986324,0.8274184376468869,0.9433962264150944
wdbc__seed0__setting1__LightGBM__mnar,wdbc,0,1,noise_only,LightGBM,0.2,0.0,natural,mnar,0.1566,426,85,0.9090909090909091,0.9083857442348009,0.9036438086352563,0.909571535601702,0.8081763156129529,0.9056603773584906
wdbc__seed0__setting2__LogisticRegression__mnar,wdbc,0,2,missing_only,LogisticRegression,0.0,0.2,natural,mnar,0.0324,426,0,0.972027972027972,0.970020964360587,0.970020964360587,0.972027972027972,0.940041928721174,0.9622641509433962
wdbc__seed0__setting2__LinearSVM__mnar,wdbc,0,2,missing_only,LinearSVM,0.0,0.2,natural,mnar,0.0217,426,0,0.9790209790209791,0.9794549266247379,0.9776014201430585,0.9790604112120322,0.9553116797597819,0.9811320754716981
wdbc__seed0__setting2__KNN__mnar,wdbc,0,2,missing_only,KNN,0.0,0.2,natural,mnar,0.0227,426,0,0.965034965034965,0.9567085953878407,0.9620669531540135,0.9648123641438936,0.9251281457541922,0.9245283018867925
wdbc__seed0__setting2__DecisionTree__mnar,wdbc,0,2,missing_only,DecisionTree,0.0,0.2,natural,mnar,0.0325,426,0,0.951048951048951,0.9533542976939203,0.9481158969574457,0.9513077499393782,0.8971669828095538,0.9622641509433962
wdbc__seed0__setting2__RandomForest__mnar,wdbc,0,2,missing_only,RandomForest,0.0,0.2,natural,mnar,0.5798,426,0,0.951048951048951,0.9572327044025157,0.9484684684684684,0.9514521514521513,0.899503820088871,0.9811320754716981
wdbc__seed0__setting2__ExtraTrees__mnar,wdbc,0,2,missing_only,ExtraTrees,0.0,0.2,natural,mnar,0.4438,426,0,0.958041958041958,0.958909853249476,0.9553682896379525,0.9581947390936154,0.911158407526304,0.9622641509433962
wdbc__seed0__setting2__HistGradientBoosting__mnar,wdbc,0,2,missing_only,HistGradientBoosting,0.0,0.2,natural,mnar,0.3314,426,0,0.951048951048951,0.9572327044025157,0.9484684684684684,0.9514521514521513,0.899503820088871,0.9811320754716981
wdbc__seed0__setting2__XGBoost__mnar,wdbc,0,2,missing_only,XGBoost,0.0,0.2,natural,mnar,0.2211,426,0,0.9370629370629371,0.9422431865828093,0.9337451737451739,0.9375813375813375,0.8700152721125508,0.9622641509433962
wdbc__seed0__setting2__LightGBM__mnar,wdbc,0,2,missing_only,LightGBM,0.0,0.2,natural,mnar,0.2263,426,0,0.965034965034965,0.9683438155136268,0.9629399263981755,0.96521982138527,0.926830538541754,0.9811320754716981
wdbc__seed0__setting3__LogisticRegression__mnar,wdbc,0,3,imbalance_only,LogisticRegression,0.0,0.0,0.8,mnar,0.0334,334,0,0.986013986013986,0.9811320754716981,0.9848901098901099,0.9859563513409668,0.9702295424554555,0.9622641509433962
wdbc__seed0__setting3__LinearSVM__mnar,wdbc,0,3,imbalance_only,LinearSVM,0.0,0.0,0.8,mnar,0.0231,334,0,0.9790209790209791,0.9755765199161426,0.9774269928966062,0.9789790320177061,0.9549644877199515,0.9622641509433962
wdbc__seed0__setting3__KNN__mnar,wdbc,0,3,imbalance_only,KNN,0.0,0.0,0.8,mnar,0.0222,334,0,0.951048951048951,0.9455974842767296,0.947329650092081,0.9509510747079808,0.8947661532504989,0.9245283018867925
wdbc__seed0__setting3__DecisionTree__mnar,wdbc,0,3,imbalance_only,DecisionTree,0.0,0.0,0.8,mnar,0.0332,334,0,0.951048951048951,0.9455974842767296,0.947329650092081,0.9509510747079808,0.8947661532504989,0.9245283018867925
wdbc__seed0__setting3__RandomForest__mnar,wdbc,0,3,imbalance_only,RandomForest,0.0,0.0,0.8,mnar,0.5946,334,0,0.951048951048951,0.9455974842767296,0.947329650092081,0.9509510747079808,0.8947661532504989,0.9245283018867925
wdbc__seed0__setting3__ExtraTrees__mnar,wdbc,0,3,imbalance_only,ExtraTrees,0.0,0.0,0.8,mnar,0.4042,334,0,0.965034965034965,0.960587002096436,0.9623783214943435,0.9649650533628434,0.9248653204852252,0.9433962264150944
wdbc__seed0__setting3__HistGradientBoosting__mnar,wdbc,0,3,imbalance_only,HistGradientBoosting,0.0,0.0,0.8,mnar,0.2727,334,0,0.9790209790209791,0.9755765199161426,0.9774269928966062,0.9789790320177061,0.9549644877199515,0.9622641509433962
wdbc__seed0__setting3__XGBoost__mnar,wdbc,0,3,imbalance_only,XGBoost,0.0,0.0,0.8,mnar,0.1559,334,0,0.965034965034965,0.9644654088050315,0.9626690335717643,0.9651006853533873,0.925445136208044,0.9622641509433962
wdbc__seed0__setting3__LightGBM__mnar,wdbc,0,3,imbalance_only,LightGBM,0.0,0.0,0.8,mnar,0.1632,334,0,0.972027972027972,0.9661425576519916,0.9697802197802198,0.9719127026819333,0.9400023475597844,0.9433962264150944
wdbc__seed0__setting4__LogisticRegression__mnar,wdbc,0,4,noise_missing,LogisticRegression,0.2,0.2,natural,mnar,0.0323,426,85,0.9370629370629371,0.9189727463312369,0.9304812834224598,0.936015855801952,0.8663835061269969,0.8490566037735849
wdbc__seed0__setting4__LinearSVM__mnar,wdbc,0,4,noise_missing,LinearSVM,0.2,0.2,natural,mnar,0.0219,426,85,0.9370629370629371,0.9189727463312369,0.9304812834224598,0.936015855801952,0.8663835061269969,0.8490566037735849
wdbc__seed0__setting4__KNN__mnar,wdbc,0,4,noise_missing,KNN,0.2,0.2,natural,mnar,0.0224,426,85,0.8951048951048951,0.8817610062893082,0.8862008594620404,0.894437092431681,0.7733111560332265,0.8301886792452831
wdbc__seed0__setting4__DecisionTree__mnar,wdbc,0,4,noise_missing,DecisionTree,0.2,0.2,natural,mnar,0.0338,426,85,0.7272727272727273,0.7212788259958072,0.7147168653128038,0.7302024283967095,0.43312611743611196,0.6981132075471698
wdbc__seed0__setting4__RandomForest__mnar,wdbc,0,4,noise_missing,RandomForest,0.2,0.2,natural,mnar,0.5951,426,85,0.9440559440559441,0.9477987421383648,0.9409090909090909,0.9444373808010172,0.8834569691884416,0.9622641509433962
wdbc__seed0__setting4__ExtraTrees__mnar,wdbc,0,4,noise_missing,ExtraTrees,0.2,0.2,natural,mnar,0.4587,426,85,0.972027972027972,0.9661425576519916,0.9697802197802198,0.9719127026819333,0.9400023475597844,0.9433962264150944
wdbc__seed0__setting4__HistGradientBoosting__mnar,wdbc,0,4,noise_missing,HistGradientBoosting,0.2,0.2,natural,mnar,0.3135,426,85,0.8951048951048951,0.889517819706499,0.8880071007152927,0.8953020560601619,0.776112418449355,0.8679245283018868
wdbc__seed0__setting4__XGBoost__mnar,wdbc,0,4,noise_missing,XGBoost,0.2,0.2,natural,mnar,0.3931,426,85,0.951048951048951,0.9494758909853249,0.9477366470004699,0.9511409594947421,0.8955785926563062,0.9433962264150944
wdbc__seed0__setting4__LightGBM__mnar,wdbc,0,4,noise_missing,LightGBM,0.2,0.2,natural,mnar,0.1592,426,85,0.9230769230769231,0.9233752620545074,0.9184678380759861,0.923483607047594,0.8378398713451533,0.9245283018867925
wdbc__seed0__setting5__LogisticRegression__mnar,wdbc,0,5,noise_imbalance,LogisticRegression,0.2,0.0,0.8,mnar,0.0422,310,85,0.7272727272727273,0.639832285115304,0.6346544382574517,0.6822499478903017,0.40719776068344704,0.3018867924528302
wdbc__seed0__setting5__LinearSVM__mnar,wdbc,0,5,noise_imbalance,LinearSVM,0.2,0.0,0.8,mnar,0.0226,310,85,0.7062937062937062,0.619287211740042,0.610202492211838,0.6602781953249243,0.33946533282545244,0.2830188679245283
wdbc__seed0__setting5__KNN__mnar,wdbc,0,5,noise_imbalance,KNN,0.2,0.0,0.8,mnar,0.0214,310,85,0.7692307692307693,0.700314465408805,0.7114290955787929,0.7448456881588417,0.5016743454143935,0.4339622641509434
wdbc__seed0__setting5__DecisionTree__mnar,wdbc,0,5,noise_imbalance,DecisionTree,0.2,0.0,0.8,mnar,0.0306,310,85,0.6993006993006993,0.6331236897274632,0.6350525253724257,0.6746722326281945,0.31582367467166567,0.37735849056603776
wdbc__seed0__setting5__RandomForest__mnar,wdbc,0,5,noise_imbalance,RandomForest,0.2,0.0,0.8,mnar,0.5802,310,85,0.7342657342657343,0.6415094339622641,0.6334322719913654,0.6831767800467207,0.44609151696645605,0.2830188679245283
wdbc__seed0__setting5__ExtraTrees__mnar,wdbc,0,5,noise_imbalance,ExtraTrees,0.2,0.0,0.8,mnar,0.4127,310,85,0.7412587412587412,0.6509433962264151,0.6466306017498163,0.6939446715042787,0.4625316445505832,0.3018867924528302
