run_key,dataset_name,seed,setting_id,setting_name,model_name,variant,label_noise,missing_rate,imbalance_level,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
balance_scale__seed0__setting5__RandomForest__tuned,balance_scale,0,5,noise_imbalance,RandomForest,tuned,0.2,0.0,0.8,0.5336,250,94,0.6114649681528662,0.4398148148148148,0.3965081786592084,0.5500068828028717,0.3913034795148078,0.0
balance_scale__seed0__setting5__XGBoost__default,balance_scale,0,5,noise_imbalance,XGBoost,default,0.2,0.0,0.8,0.2836,250,94,0.6687898089171974,0.48154490106544895,0.45885607033488096,0.6360945088783756,0.4640905052979165,0.0
balance_scale__seed0__setting5__XGBoost__tuned,balance_scale,0,5,noise_imbalance,XGBoost,tuned,0.2,0.0,0.8,0.2011,250,94,0.6815286624203821,0.49074074074074076,0.4679783571077225,0.6487372368656028,0.48713111996726655,0.0
balance_scale__seed0__setting5__LightGBM__default,balance_scale,0,5,noise_imbalance,LightGBM,default,0.2,0.0,0.8,0.1852,250,94,0.7070063694267515,0.5325342465753424,0.5264262709914883,0.686707942661972,0.5209624170825327,0.08333333333333333
balance_scale__seed0__setting5__LightGBM__tuned,balance_scale,0,5,noise_imbalance,LightGBM,tuned,0.2,0.0,0.8,0.1311,250,94,0.6942675159235668,0.5001268391679351,0.48270851496657946,0.6689712107834154,0.498640440265031,0.0
balance_scale__seed0__setting6__LogisticRegression__default,balance_scale,0,6,missing_imbalance,LogisticRegression,default,0.0,0.2,0.8,0.0321,270,0,0.7515923566878981,0.5432521562658549,0.5208702366353273,0.7215825408796734,0.586149628155412,0.0
balance_scale__seed0__setting6__LogisticRegression__tuned,balance_scale,0,6,missing_imbalance,LogisticRegression,tuned,0.0,0.2,0.8,0.0329,270,0,0.7643312101910829,0.5523845763571791,0.5303201506591337,0.7347079779768974,0.6054559638190823,0.0
balance_scale__seed0__setting6__RandomForest__default,balance_scale,0,6,missing_imbalance,RandomForest,default,0.0,0.2,0.8,0.5313,270,0,0.6496815286624203,0.4700025367833587,0.4422670150553689,0.612380320634898,0.4047138387656169,0.0
balance_scale__seed0__setting6__RandomForest__tuned,balance_scale,0,6,missing_imbalance,RandomForest,tuned,0.0,0.2,0.8,0.5426,270,0,0.6369426751592356,0.4609969558599696,0.4284714267532137,0.5931458742214537,0.3989488826743028,0.0
balance_scale__seed0__setting6__XGBoost__default,balance_scale,0,6,missing_imbalance,XGBoost,default,0.0,0.2,0.8,0.2585,270,0,0.6878980891719745,0.4975266362252664,0.47144975899147196,0.6529016671035759,0.47889895622359296,0.0
balance_scale__seed0__setting6__XGBoost__tuned,balance_scale,0,6,missing_imbalance,XGBoost,tuned,0.0,0.2,0.8,0.1941,270,0,0.6687898089171974,0.4835743277524099,0.46296296296296297,0.6411889596602972,0.4279588362252408,0.0
balance_scale__seed0__setting6__LightGBM__default,balance_scale,0,6,missing_imbalance,LightGBM,default,0.0,0.2,0.8,0.1908,270,0,0.6878980891719745,0.49727295788939624,0.4755454545454545,0.658635784597568,0.4535947031690747,0.0
balance_scale__seed0__setting6__LightGBM__tuned,balance_scale,0,6,missing_imbalance,LightGBM,tuned,0.0,0.2,0.8,0.1411,270,0,0.6815286624203821,0.49264332825976664,0.47132275132275137,0.6527914265493884,0.4389254971249462,0.0
balance_scale__seed0__setting7__LogisticRegression__default,balance_scale,0,7,all_three,LogisticRegression,default,0.2,0.2,0.8,0.0322,252,94,0.6942675159235668,0.502283105022831,0.4742424242424243,0.6567458019687319,0.517821336500499,0.0
