run_key,experiment,dataset_name,seed,setting_id,model_name,label_noise,missing_rate,imbalance_level,corruption_order,noise_type,imputation_strategy,train_rows_after_corruption,test_rows,fit_eval_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall,auroc,auprc
xgb__adult__seed0__setting56__XGBoost,xgboost_full,adult,0,56,XGBoost,0.3,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.3008,0.8346,0.7178111595053898,0.742430493140024,0.82273598791672,0.5040098330050778,0.4937343358395989,0.8741702621880321,0.9533836448512424
xgb__adult__seed0__setting57__XGBoost,xgboost_full,adult,0,57,XGBoost,0.3,0.2,0.7,noise_then_imbalance,symmetric,mean,12981,5000,0.2896,0.8096,0.6155060277567439,0.6334752307797029,0.7658991051559563,0.3931852562279221,0.2431077694235588,0.8574780803353814,0.9455119244635984
xgb__adult__seed0__setting58__XGBoost,xgboost_full,adult,0,58,XGBoost,0.3,0.2,0.8,noise_then_imbalance,symmetric,mean,11374,5000,0.291,0.7798,0.5412451937978877,0.5135808148144286,0.7011361531744176,0.2466472103940029,0.0835421888053467,0.8404073994259027,0.935426978243018
xgb__adult__seed0__setting59__XGBoost,xgboost_full,adult,0,59,XGBoost,0.3,0.2,0.9,noise_then_imbalance,symmetric,mean,10094,5000,0.2712,0.7632,0.5057164780651778,0.4441865670408643,0.6636556816901535,0.0892052806940407,0.0116959064327485,0.8272097985343762,0.9341305906748468
xgb__adult__seed0__setting60__XGBoost,xgboost_full,adult,0,60,XGBoost,0.3,0.3,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.3047,0.8218,0.6956574317729638,0.7191307161864117,0.8076375483459257,0.4601856324670635,0.4536340852130325,0.8505614109777029,0.93966329378016
xgb__adult__seed0__setting61__XGBoost,xgboost_full,adult,0,61,XGBoost,0.3,0.3,0.7,noise_then_imbalance,symmetric,mean,12939,5000,0.2902,0.809,0.6125354801676819,0.6293461300902711,0.7638413857595482,0.3912655917388203,0.2355889724310776,0.8460840065805675,0.938370712798088
xgb__adult__seed0__setting62__XGBoost,xgboost_full,adult,0,62,XGBoost,0.3,0.3,0.8,noise_then_imbalance,symmetric,mean,11364,5000,0.2817,0.7826,0.5473793828070922,0.5247260922577051,0.7071913118005834,0.2641977402019659,0.0960735171261487,0.8362786183620151,0.9334303612731708
xgb__adult__seed0__setting63__XGBoost,xgboost_full,adult,0,63,XGBoost,0.3,0.3,0.9,noise_then_imbalance,symmetric,mean,10066,5000,0.2706,0.761,0.5008354218880535,0.4337780442153485,0.6581243785417893,0.0356560277797982,0.0016708437761069,0.8094582367040399,0.9183049264472388
xgb__adult__seed1__setting0__XGBoost,xgboost_full,adult,1,0,XGBoost,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2276,0.8696,0.7899078245395623,0.8085171568627451,0.8649279411764706,0.6230884662143199,0.637123745819398,0.9260515906509256,0.9750121123489216
xgb__adult__seed1__setting1__XGBoost,xgboost_full,adult,1,1,XGBoost,0.0,0.0,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2364,0.8684,0.7885459417828091,0.8068831313060876,0.8637350071224319,0.6196837390994149,0.6354515050167224,0.9257990400880608,0.9749153163645732
xgb__adult__seed1__setting2__XGBoost,xgboost_full,adult,1,2,XGBoost,0.0,0.0,0.8,noise_then_imbalance,symmetric,mean,14262,5000,0.2272,0.8682,0.7709307048732368,0.7983321980976392,0.8602469882306181,0.6122443381433278,0.5844481605351171,0.9250595219255212,0.9746626286240612
xgb__adult__seed1__setting3__XGBoost,xgboost_full,adult,1,3,XGBoost,0.0,0.0,0.9,noise_then_imbalance,symmetric,mean,12678,5000,0.214,0.8518,0.7034018934478405,0.7425644375804226,0.8300333804082572,0.5559693119170923,0.4188963210702341,0.9201073109101844,0.9728949320905405
xgb__adult__seed1__setting4__XGBoost,xgboost_full,adult,1,4,XGBoost,0.0,0.1,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2354,0.8622,0.7738663578911831,0.7948400332901078,0.8561575876284669,0.5982810331638051,0.6045150501672241,0.9168093170716268,0.9711870001122812
xgb__adult__seed1__setting5__XGBoost,xgboost_full,adult,1,5,XGBoost,0.0,0.1,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2407,0.8646,0.7780232214637646,0.7988246725225229,0.8588253909769686,0.6058785498974993,0.6120401337792643,0.9155928322237812,0.9708507990375368
xgb__adult__seed1__setting6__XGBoost,xgboost_full,adult,1,6,XGBoost,0.0,0.1,0.8,noise_then_imbalance,symmetric,mean,14262,5000,0.2353,0.8638,0.7560009882222198,0.7867873932175848,0.8536256223319071,0.5960843929169993,0.5493311036789298,0.914249522593714,0.9700314210184202
xgb__adult__seed1__setting7__XGBoost,xgboost_full,adult,1,7,XGBoost,0.0,0.1,0.9,noise_then_imbalance,symmetric,mean,12678,5000,0.2193,0.8446,0.6854855301056096,0.7229755125327375,0.8187185440191911,0.5317959327637358,0.3804347826086957,0.9114009105008282,0.9689603486375268
xgb__adult__seed1__setting8__XGBoost,xgboost_full,adult,1,8,XGBoost,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2358,0.8568,0.7605723951904174,0.7837532748089961,0.8493093172378118,0.579172920886245,0.5760869565217391,0.9083804145609796,0.9687303798884696
xgb__adult__seed1__setting9__XGBoost,xgboost_full,adult,1,9,XGBoost,0.0,0.2,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.261,0.8576,0.7636777340521683,0.7860105734820455,0.8505697796918744,0.5825543301888978,0.5836120401337793,0.9063227539045328,0.9676740843664569
