dataset_name,task_type,n_classes,seed,label_noise,imbalance_level,original_train_rows,original_minority_count,original_majority_count,clean_minority_class,clean_majority_class,observed_majority_class_after_noise,post_imbalance_rows,clean_minority_retained_count,clean_majority_retained_count,clean_minority_retention_rate,effective_clean_minority_ratio,mislabeled_retained_count,mislabeled_retained_ratio,mislabeled_minority_retained_count,mislabeled_majority_retained_count,mislabeled_minority_retained_ratio,observed_majority_ratio_after,observed_minority_count_after,imbalance_feasible
allhypo,multiclass,3,0,0.3,0.8,2827,71,2610,2,1,1,2328,39,2211,0.5492957746478874,0.01675257731958763,433,0.18599656357388317,18,380,0.46153846153846156,0.7998281786941581,210,True
allhypo,multiclass,3,0,0.3,0.9,2827,71,2610,2,1,1,2069,20,1995,0.28169014084507044,0.009666505558240696,198,0.09569840502658289,10,164,0.5,0.8999516674722088,91,True
allhypo,multiclass,3,1,0.1,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,10,262,0.14084507042253522,0.8340997523876902,211,True
allhypo,multiclass,3,1,0.1,0.8,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,10,262,0.14084507042253522,0.8340997523876902,211,True
allhypo,multiclass,3,1,0.1,0.9,2827,71,2610,2,1,1,2620,42,2487,0.5915492957746479,0.01603053435114504,153,0.0583969465648855,6,139,0.14285714285714285,0.9,114,True
allhypo,multiclass,3,1,0.2,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,565,0.19985850725150336,20,511,0.28169014084507044,0.7513264945171559,329,True
allhypo,multiclass,3,1,0.2,0.8,2827,71,2610,2,1,1,2655,56,2489,0.7887323943661971,0.021092278719397364,435,0.1638418079096045,14,390,0.25,0.8,260,True
allhypo,multiclass,3,1,0.2,0.9,2827,71,2610,2,1,1,2360,28,2267,0.39436619718309857,0.011864406779661017,206,0.08728813559322034,13,168,0.4642857142857143,0.9,108,True
allhypo,multiclass,3,1,0.3,0.7,2827,71,2610,2,1,1,2674,64,2480,0.9014084507042254,0.02393418100224383,714,0.2670157068062827,24,646,0.375,0.700074794315632,389,True
allhypo,multiclass,3,1,0.3,0.8,2827,71,2610,2,1,1,2340,40,2219,0.5633802816901409,0.017094017094017096,441,0.18846153846153846,21,385,0.525,0.8,219,True
allhypo,multiclass,3,1,0.3,0.9,2827,71,2610,2,1,1,2080,19,2014,0.2676056338028169,0.009134615384615385,224,0.1076923076923077,15,180,0.7894736842105263,0.9,104,True
allhypo,multiclass,3,2,0.1,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,5,264,0.07042253521126761,0.8326848249027238,200,True
allhypo,multiclass,3,2,0.1,0.8,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,5,264,0.07042253521126761,0.8326848249027238,200,True
allhypo,multiclass,3,2,0.1,0.9,2827,71,2610,2,1,1,2616,42,2491,0.5915492957746479,0.016055045871559634,156,0.05963302752293578,4,145,0.09523809523809523,0.8998470948012233,116,True
allhypo,multiclass,3,2,0.2,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,565,0.19985850725150336,12,523,0.16901408450704225,0.7460205164485321,359,True
allhypo,multiclass,3,2,0.2,0.8,2827,71,2610,2,1,1,2636,47,2483,0.6619718309859155,0.017830045523520487,428,0.16236722306525037,8,396,0.1702127659574468,0.8000758725341427,260,True
allhypo,multiclass,3,2,0.2,0.9,2827,71,2610,2,1,1,2343,25,2255,0.352112676056338,0.010670081092616303,198,0.08450704225352113,9,168,0.36,0.9001280409731114,108,True
allhypo,multiclass,3,2,0.3,0.7,2827,71,2610,2,1,1,2644,64,2458,0.9014084507042254,0.024205748865355523,693,0.26210287443267777,13,639,0.203125,0.7000756429652042,396,True
allhypo,multiclass,3,2,0.3,0.8,2827,71,2610,2,1,1,2314,38,2191,0.5352112676056338,0.016421780466724288,415,0.17934312878133102,10,372,0.2631578947368421,0.799913569576491,216,True
allhypo,multiclass,3,2,0.3,0.9,2827,71,2610,2,1,1,2057,21,1992,0.29577464788732394,0.010209042294603793,208,0.1011181332036947,10,173,0.47619047619047616,0.8998541565386485,102,True
allhypo,multiclass,3,3,0.1,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,6,266,0.08450704225352113,0.8319773611602406,198,True
allhypo,multiclass,3,3,0.1,0.8,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,6,266,0.08450704225352113,0.8319773611602406,198,True
allhypo,multiclass,3,3,0.1,0.9,2827,71,2610,2,1,1,2613,40,2492,0.5633802816901409,0.015308075009567547,161,0.061615001913509375,6,148,0.15,0.9001148105625718,108,True
allhypo,multiclass,3,3,0.2,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,565,0.19985850725150336,13,518,0.18309859154929578,0.7470817120622568,336,True
allhypo,multiclass,3,3,0.2,0.8,2827,71,2610,2,1,1,2640,53,2470,0.7464788732394366,0.020075757575757577,418,0.15833333333333333,10,378,0.18867924528301888,0.8,247,True
allhypo,multiclass,3,3,0.2,0.9,2827,71,2610,2,1,1,2347,23,2265,0.323943661971831,0.0097997443544951,200,0.08521516829995739,5,173,0.21739130434782608,0.8998721772475501,111,True
allhypo,multiclass,3,3,0.3,0.7,2827,71,2610,2,1,1,2667,66,2473,0.9295774647887324,0.024746906636670417,704,0.26396700412448443,24,638,0.36363636363636365,0.7000374953130859,396,True
allhypo,multiclass,3,3,0.3,0.8,2827,71,2610,2,1,1,2334,39,2219,0.5492957746478874,0.016709511568123392,435,0.18637532133676094,19,384,0.48717948717948717,0.7999143101970866,229,True
allhypo,multiclass,3,3,0.3,0.9,2827,71,2610,2,1,1,2074,22,2004,0.30985915492957744,0.010607521697203472,206,0.09932497589199614,15,169,0.6818181818181818,0.9001928640308583,101,True
allhypo,multiclass,3,4,0.1,0.7,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,9,259,0.1267605633802817,0.8344534842589317,183,True
allhypo,multiclass,3,4,0.1,0.8,2827,71,2610,2,1,1,2827,71,2610,1.0,0.025114962858153518,283,0.10010611956137248,9,259,0.1267605633802817,0.8344534842589317,183,True
allhypo,multiclass,3,4,0.1,0.9,2827,71,2610,2,1,1,2621,41,2494,0.5774647887323944,0.01564288439526898,158,0.06028233498664632,5,143,0.12195121951219512,0.9000381533765738,105,True
