combination,dataset_name,model_name,seed,mitigation,interaction
all_three_excess_over_singles,clean2,LightGBM,0,none,0.015766255896327075
noise_imbalance,clean2,LightGBM,0,random_oversample,-0.009982979596565578
all_three_excess_over_singles,clean2,LightGBM,0,random_oversample,-0.06948409340668893
noise_imbalance,clean2,LightGBM,1,class_weight,-0.0017851398935792018
all_three_excess_over_singles,clean2,LightGBM,1,class_weight,-0.10455306129138386
noise_imbalance,clean2,LightGBM,1,none,0.06529900186038962
all_three_excess_over_singles,clean2,LightGBM,1,none,0.02361669079820905
noise_imbalance,clean2,LightGBM,1,random_oversample,0.02239474421514953
all_three_excess_over_singles,clean2,LightGBM,1,random_oversample,-0.09122593886099017
noise_imbalance,clean2,LightGBM,2,class_weight,-0.03507514661672195
all_three_excess_over_singles,clean2,LightGBM,2,class_weight,-0.10359138627783926
noise_imbalance,clean2,LightGBM,2,none,-0.005395361036707236
all_three_excess_over_singles,clean2,LightGBM,2,none,-0.007502681890126928
noise_imbalance,clean2,LightGBM,2,random_oversample,-0.030647234178988736
all_three_excess_over_singles,clean2,LightGBM,2,random_oversample,-0.08212090955806972
noise_imbalance,clean2,LightGBM,3,class_weight,-0.014051181175121719
all_three_excess_over_singles,clean2,LightGBM,3,class_weight,-0.11327639990490712
noise_imbalance,clean2,LightGBM,3,none,0.03743476502521237
all_three_excess_over_singles,clean2,LightGBM,3,none,0.024487672346492628
noise_imbalance,clean2,LightGBM,3,random_oversample,-0.006379105524277229
all_three_excess_over_singles,clean2,LightGBM,3,random_oversample,-0.09484859808686352
noise_imbalance,clean2,LightGBM,4,class_weight,-0.04695064781887881
all_three_excess_over_singles,clean2,LightGBM,4,class_weight,-0.10555937938310223
noise_imbalance,clean2,LightGBM,4,none,-0.0050964188603800364
all_three_excess_over_singles,clean2,LightGBM,4,none,-0.025064310623672426
noise_imbalance,clean2,LightGBM,4,random_oversample,-0.026205157749197516
all_three_excess_over_singles,clean2,LightGBM,4,random_oversample,-0.09207197980855986
noise_imbalance,clean2,LogisticRegression,0,class_weight,-0.023693656952578634
all_three_excess_over_singles,clean2,LogisticRegression,0,class_weight,0.015540734763474173
noise_imbalance,clean2,LogisticRegression,0,none,4.570686699201243e-05
all_three_excess_over_singles,clean2,LogisticRegression,0,none,0.06455574069737036
noise_imbalance,clean2,LogisticRegression,0,random_oversample,-0.026785955374667325
all_three_excess_over_singles,clean2,LogisticRegression,0,random_oversample,0.029467248671617097
noise_imbalance,clean2,LogisticRegression,1,class_weight,0.035935017969327965
all_three_excess_over_singles,clean2,LogisticRegression,1,class_weight,0.022774232043181186
noise_imbalance,clean2,LogisticRegression,1,none,0.037832632329143245
all_three_excess_over_singles,clean2,LogisticRegression,1,none,0.08819690175574246
noise_imbalance,clean2,LogisticRegression,1,random_oversample,0.01837863904262338
all_three_excess_over_singles,clean2,LogisticRegression,1,random_oversample,0.05123738700455449
noise_imbalance,clean2,LogisticRegression,2,class_weight,-0.016008672261584644
all_three_excess_over_singles,clean2,LogisticRegression,2,class_weight,0.004960557712805125
noise_imbalance,clean2,LogisticRegression,2,none,0.013191446876178015
all_three_excess_over_singles,clean2,LogisticRegression,2,none,0.08170765893584608
noise_imbalance,clean2,LogisticRegression,2,random_oversample,-0.025165380204300147
all_three_excess_over_singles,clean2,LogisticRegression,2,random_oversample,0.036559192492861325
noise_imbalance,clean2,LogisticRegression,3,class_weight,0.030608339946447072
all_three_excess_over_singles,clean2,LogisticRegression,3,class_weight,0.031002765035681668
noise_imbalance,clean2,LogisticRegression,3,none,0.008450195308952413
all_three_excess_over_singles,clean2,LogisticRegression,3,none,0.09769369144139439
noise_imbalance,clean2,LogisticRegression,3,random_oversample,0.03617078522966699
all_three_excess_over_singles,clean2,LogisticRegression,3,random_oversample,0.061111391250572744
noise_imbalance,clean2,LogisticRegression,4,class_weight,-0.0028734014630842353
all_three_excess_over_singles,clean2,LogisticRegression,4,class_weight,0.012105620175408616
noise_imbalance,clean2,LogisticRegression,4,none,0.014400476853244859
all_three_excess_over_singles,clean2,LogisticRegression,4,none,0.05525603559086878
noise_imbalance,clean2,LogisticRegression,4,random_oversample,0.00209014915685779
all_three_excess_over_singles,clean2,LogisticRegression,4,random_oversample,0.04540237498517408
noise_imbalance,clean2,RandomForest,0,class_weight,0.0210239624112466
all_three_excess_over_singles,clean2,RandomForest,0,class_weight,0.02156598634812934
noise_imbalance,clean2,RandomForest,0,none,0.0024341514330290526
all_three_excess_over_singles,clean2,RandomForest,0,none,-0.009623538956313182
noise_imbalance,clean2,RandomForest,0,random_oversample,-0.0154163694694327
all_three_excess_over_singles,clean2,RandomForest,0,random_oversample,-0.09601691868011342
noise_imbalance,clean2,RandomForest,1,class_weight,0.09488202501532328
all_three_excess_over_singles,clean2,RandomForest,1,class_weight,0.08127733717700614
noise_imbalance,clean2,RandomForest,1,none,0.07176834595142623
all_three_excess_over_singles,clean2,RandomForest,1,none,0.023305416995896278
noise_imbalance,clean2,RandomForest,1,random_oversample,0.012517836327849974
all_three_excess_over_singles,clean2,RandomForest,1,random_oversample,-0.07674086441278827
noise_imbalance,clean2,RandomForest,2,class_weight,0.021565651207300474
all_three_excess_over_singles,clean2,RandomForest,2,class_weight,0.05139944684556996
noise_imbalance,clean2,RandomForest,2,none,-0.0016714167468961927
all_three_excess_over_singles,clean2,RandomForest,2,none,-0.020344567555552584
noise_imbalance,clean2,RandomForest,2,random_oversample,-0.009504694436398675
all_three_excess_over_singles,clean2,RandomForest,2,random_oversample,-0.08026385630166466
noise_imbalance,clean2,RandomForest,3,class_weight,0.05120067822939711
all_three_excess_over_singles,clean2,RandomForest,3,class_weight,0.07304988545199709
noise_imbalance,clean2,RandomForest,3,none,0.02976545037324252
all_three_excess_over_singles,clean2,RandomForest,3,none,0.02903909854626563
noise_imbalance,clean2,RandomForest,3,random_oversample,0.0006199014329215657
all_three_excess_over_singles,clean2,RandomForest,3,random_oversample,-0.08726531795630066
noise_imbalance,clean2,RandomForest,4,class_weight,0.0034537075078658885
all_three_excess_over_singles,clean2,RandomForest,4,class_weight,0.011662338446827736
noise_imbalance,clean2,RandomForest,4,none,-0.013784643712065336
all_three_excess_over_singles,clean2,RandomForest,4,none,-0.04514203165443842
noise_imbalance,clean2,RandomForest,4,random_oversample,-0.041544315241169305
all_three_excess_over_singles,clean2,RandomForest,4,random_oversample,-0.10981796490695661
noise_imbalance,clean2,XGBoost,0,class_weight,-0.029260839827275897
all_three_excess_over_singles,clean2,XGBoost,0,class_weight,-0.08193513459744017
noise_imbalance,clean2,XGBoost,0,none,0.012137013900458848
all_three_excess_over_singles,clean2,XGBoost,0,none,0.021986320838973894
noise_imbalance,clean2,XGBoost,0,random_oversample,-0.011037358814341092
all_three_excess_over_singles,clean2,XGBoost,0,random_oversample,-0.07734658771880565
noise_imbalance,clean2,XGBoost,1,class_weight,0.014571383764946821
all_three_excess_over_singles,clean2,XGBoost,1,class_weight,-0.08602279615476971
noise_imbalance,clean2,XGBoost,1,none,0.06018427493858902
all_three_excess_over_singles,clean2,XGBoost,1,none,0.04104022473382518
noise_imbalance,clean2,XGBoost,1,random_oversample,-0.0044912693825069905
all_three_excess_over_singles,clean2,XGBoost,1,random_oversample,-0.09879008642879727
noise_imbalance,clean2,XGBoost,2,class_weight,-0.042856562762841
all_three_excess_over_singles,clean2,XGBoost,2,class_weight,-0.0847649317728143
noise_imbalance,clean2,XGBoost,2,none,0.008421094018260855
all_three_excess_over_singles,clean2,XGBoost,2,none,0.026719524566495623
noise_imbalance,clean2,XGBoost,2,random_oversample,-0.02849104392546531
all_three_excess_over_singles,clean2,XGBoost,2,random_oversample,-0.06785291599274168
noise_imbalance,clean2,XGBoost,3,class_weight,-0.003144756703117979
all_three_excess_over_singles,clean2,XGBoost,3,class_weight,-0.06027205491284582
noise_imbalance,clean2,XGBoost,3,none,0.03298242478173319
all_three_excess_over_singles,clean2,XGBoost,3,none,0.041884099245386164
noise_imbalance,clean2,XGBoost,3,random_oversample,-0.02521874800506474
all_three_excess_over_singles,clean2,XGBoost,3,random_oversample,-0.07169055786935508
noise_imbalance,clean2,XGBoost,4,class_weight,-0.05938127691205464
all_three_excess_over_singles,clean2,XGBoost,4,class_weight,-0.10791562858819936
noise_imbalance,clean2,XGBoost,4,none,0.001871108588352044
all_three_excess_over_singles,clean2,XGBoost,4,none,-0.005786126145675197
noise_imbalance,clean2,XGBoost,4,random_oversample,-0.0432185804960763
all_three_excess_over_singles,clean2,XGBoost,4,random_oversample,-0.085796390367193
noise_imbalance,dna,LightGBM,0,class_weight,0.1587201538058114
all_three_excess_over_singles,dna,LightGBM,0,class_weight,0.14910738889263997
noise_imbalance,dna,LightGBM,0,none,0.2603544315681463
all_three_excess_over_singles,dna,LightGBM,0,none,0.25746404309796744
noise_imbalance,dna,LightGBM,0,random_oversample,0.1709168418344581
all_three_excess_over_singles,dna,LightGBM,0,random_oversample,0.18528985698546785
noise_imbalance,dna,LightGBM,1,class_weight,0.17242288079822898
all_three_excess_over_singles,dna,LightGBM,1,class_weight,0.23198520779015785
noise_imbalance,dna,LightGBM,1,none,0.2606744895215486
all_three_excess_over_singles,dna,LightGBM,1,none,0.35278284992239417
noise_imbalance,dna,LightGBM,1,random_oversample,0.18589903896807258
all_three_excess_over_singles,dna,LightGBM,1,random_oversample,0.244615422236948
noise_imbalance,dna,LightGBM,2,class_weight,0.17324830466037988
all_three_excess_over_singles,dna,LightGBM,2,class_weight,0.22806536903833696
noise_imbalance,dna,LightGBM,2,none,0.2823803397229734
all_three_excess_over_singles,dna,LightGBM,2,none,0.31607145050898144
noise_imbalance,dna,LightGBM,2,random_oversample,0.14792385915657558
all_three_excess_over_singles,dna,LightGBM,2,random_oversample,0.23202436281835903
noise_imbalance,dna,LightGBM,3,class_weight,0.1571046287905863
all_three_excess_over_singles,dna,LightGBM,3,class_weight,0.27334813970875227
noise_imbalance,dna,LightGBM,3,none,0.24639790829330188
all_three_excess_over_singles,dna,LightGBM,3,none,0.34829538681019545
noise_imbalance,dna,LightGBM,3,random_oversample,0.1510762892600741
all_three_excess_over_singles,dna,LightGBM,3,random_oversample,0.24943989698321367
