run_key,dataset_name,seed,setting_name,label_noise,missing_rate,imbalance_level,model_name,mitigation,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,observed_majority_class,desired_nonmajority,actual_nonmajority,imbalance_feasible,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
adult__seed0__noise_imbalance__LightGBM__random_oversample,adult,0,noise_imbalance,0.2,0.0,0.8,LightGBM,random_oversample,0.3453,12194,3000,1,2439,2439,True,0.8004,0.7874968339421611,0.7537629365748593,0.8096159638202254,0.5236864691697681,0.7627401837928154
adult__seed0__all_three__LogisticRegression__none,adult,0,all_three,0.2,0.2,0.8,LogisticRegression,none,1.0379,12299,3000,1,2460,2460,True,0.7704,0.5207540720501402,0.4744790934233348,0.6800147764027562,0.1762786592714065,0.04177109440267335
adult__seed0__all_three__LogisticRegression__class_weight,adult,0,all_three,0.2,0.2,0.8,LogisticRegression,class_weight,1.0483,12299,3000,1,2460,2460,True,0.7024,0.7368133279117682,0.6689198510139329,0.723793604635122,0.40689952529694323,0.8028404344193818
adult__seed0__all_three__LogisticRegression__random_oversample,adult,0,all_three,0.2,0.2,0.8,LogisticRegression,random_oversample,1.0492,12299,3000,1,2460,2460,True,0.703,0.7392114039151696,0.6700991022296903,0.7243991273021585,0.4108137689817962,0.808688387635756
adult__seed0__all_three__RandomForest__none,adult,0,all_three,0.2,0.2,0.8,RandomForest,none,1.183,12299,3000,1,2460,2460,True,0.8118,0.6249668566191533,0.6461543749119616,0.7723375082003066,0.401491572504507,0.26649958228905596
adult__seed0__all_three__RandomForest__class_weight,adult,0,all_three,0.2,0.2,0.8,RandomForest,class_weight,1.1289,12299,3000,1,2460,2460,True,0.8026,0.6043209742297719,0.6177521331328656,0.7562949979748996,0.3606273941258061,0.22389306599832914
adult__seed0__all_three__RandomForest__random_oversample,adult,0,all_three,0.2,0.2,0.8,RandomForest,random_oversample,1.6339,12299,3000,1,2460,2460,True,0.822,0.673462515083396,0.7010935274993955,0.8001760015046079,0.44824306180735995,0.38847117794486213
adult__seed0__all_three__XGBoost__none,adult,0,all_three,0.2,0.2,0.8,XGBoost,none,0.2639,12299,3000,1,2460,2460,True,0.8162,0.6292904889096261,0.6522761984911889,0.776711219386022,0.42151734856244794,0.2706766917293233
adult__seed0__all_three__XGBoost__class_weight,adult,0,all_three,0.2,0.2,0.8,XGBoost,class_weight,0.2671,12299,3000,1,2460,2460,True,0.7952,0.7903756674533209,0.7510304518933453,0.8056865973662524,0.5233656878442026,0.7811194653299917
adult__seed0__all_three__XGBoost__random_oversample,adult,0,all_three,0.2,0.2,0.8,XGBoost,random_oversample,0.3146,12299,3000,1,2460,2460,True,0.7956,0.7846276661062772,0.7492332229174334,0.8054340699300699,0.5163605589973811,0.7635756056808688
adult__seed0__all_three__LightGBM__none,adult,0,all_three,0.2,0.2,0.8,LightGBM,none,0.328,12299,3000,1,2460,2460,True,0.814,0.6241231969396714,0.6453439843017807,0.7728142792291471,0.41246409643263005,0.2598162071846282
adult__seed0__all_three__LightGBM__class_weight,adult,0,all_three,0.2,0.2,0.8,LightGBM,class_weight,0.3143,12299,3000,1,2460,2460,True,0.791,0.7841798597642322,0.7457683073944833,0.8016591518373362,0.5124192088108798,0.77109440267335
adult__seed0__all_three__LightGBM__random_oversample,adult,0,all_three,0.2,0.2,0.8,LightGBM,random_oversample,0.382,12299,3000,1,2460,2460,True,0.8004,0.7840620044281974,0.7524801587301587,0.8092433888888889,0.5194441339801233,0.7527151211361738
adult__seed1__clean__LogisticRegression__none,adult,1,clean,0.0,0.0,natural,LogisticRegression,none,1.0457,15000,0,1,3590,3590,True,0.8288,0.7043369239912924,0.7294409922182679,0.8149618807643924,0.48197827645037417,0.4657190635451505
adult__seed1__clean__LogisticRegression__class_weight,adult,1,clean,0.0,0.0,natural,LogisticRegression,class_weight,1.0462,15000,0,1,3590,3590,True,0.7678,0.7774622910578198,0.7268977489646931,0.7820259508768793,0.4892982056593338,0.7959866220735786
adult__seed1__clean__LogisticRegression__random_oversample,adult,1,clean,0.0,0.0,natural,LogisticRegression,random_oversample,1.0572,15000,0,1,3590,3590,True,0.768,0.7778803512584886,0.7271826376772819,0.7822248718746184,0.4899826551601053,0.7968227424749164
adult__seed1__clean__RandomForest__none,adult,1,clean,0.0,0.0,natural,RandomForest,none,1.1243,15000,0,1,3590,3590,True,0.8654,0.788294050620892,0.8042235923661747,0.8613069809561626,0.6128653566938489,0.6404682274247492
adult__seed1__clean__RandomForest__class_weight,adult,1,clean,0.0,0.0,natural,RandomForest,class_weight,1.1637,15000,0,1,3590,3590,True,0.8654,0.7871475721736316,0.8037121560390945,0.861108480352345,0.6122492298528968,0.637123745819398
adult__seed1__clean__RandomForest__random_oversample,adult,1,clean,0.0,0.0,natural,RandomForest,random_oversample,1.4902,15000,0,1,3590,3590,True,0.8576,0.8098234915543927,0.806470201303608,0.8583560048056276,0.6131015948438194,0.7182274247491639
adult__seed1__clean__XGBoost__none,adult,1,clean,0.0,0.0,natural,XGBoost,none,0.2126,15000,0,1,3590,3590,True,0.8772,0.8035011552704598,0.820978685617346,0.8733074464702946,0.6468758421194523,0.6622073578595318
adult__seed1__clean__XGBoost__class_weight,adult,1,clean,0.0,0.0,natural,XGBoost,class_weight,0.2351,15000,0,1,3590,3590,True,0.838,0.8505401812561324,0.803382748831511,0.8464150610562104,0.6308154704879015,0.8745819397993311
adult__seed1__clean__XGBoost__random_oversample,adult,1,clean,0.0,0.0,natural,XGBoost,random_oversample,0.2628,15000,0,1,3590,3590,True,0.8372,0.8482947012298268,0.8020886600011554,0.8455693697433144,0.627487862376275,0.8695652173913043
adult__seed1__clean__LightGBM__none,adult,1,clean,0.0,0.0,natural,LightGBM,none,0.4592,15000,0,1,3590,3590,True,0.8784,0.8065827556981033,0.8233044668630777,0.8747690622861053,0.6510221006433161,0.6688963210702341
adult__seed1__clean__LightGBM__class_weight,adult,1,clean,0.0,0.0,natural,LightGBM,class_weight,0.362,15000,0,1,3590,3590,True,0.8376,0.8497040608547946,0.8028169014084507,0.8460141971830987,0.6294889607767665,0.8729096989966555
adult__seed1__clean__LightGBM__random_oversample,adult,1,clean,0.0,0.0,natural,LightGBM,random_oversample,0.4642,15000,0,1,3590,3590,True,0.84,0.8487017714147052,0.8045261959331675,0.8479607879549041,0.6304216857707609,0.8653846153846154
adult__seed1__noise_only__LogisticRegression__none,adult,1,noise_only,0.2,0.0,natural,LogisticRegression,none,1.0455,15000,3000,1,5164,5164,True,0.8274,0.6850731847131518,0.7136923213607623,0.8078051826400806,0.46860608871758264,0.4122073578595318
adult__seed1__noise_only__LogisticRegression__class_weight,adult,1,noise_only,0.2,0.0,natural,LogisticRegression,class_weight,1.0467,15000,3000,1,5164,5164,True,0.714,0.7621681454831915,0.6846236240988837,0.7348291210517743,0.449132871060432,0.8545150501672241
adult__seed1__noise_only__LogisticRegression__random_oversample,adult,1,noise_only,0.2,0.0,natural,LogisticRegression,random_oversample,1.0473,15000,3000,1,5164,5164,True,0.714,0.7621681454831915,0.6846236240988837,0.7348291210517743,0.449132871060432,0.8545150501672241
adult__seed1__noise_only__RandomForest__none,adult,1,noise_only,0.2,0.0,natural,RandomForest,none,1.4525,15000,3000,1,5164,5164,True,0.8324,0.7600141023882623,0.7651216793026345,0.8306903864695736,0.5307506307100902,0.6212374581939799
adult__seed1__noise_only__RandomForest__class_weight,adult,1,noise_only,0.2,0.0,natural,RandomForest,class_weight,1.5045,15000,3000,1,5164,5164,True,0.8352,0.7601345529613257,0.7672210647308499,0.8328350777515545,0.5354293419092854,0.6162207357859532
adult__seed1__noise_only__RandomForest__random_oversample,adult,1,noise_only,0.2,0.0,natural,RandomForest,random_oversample,1.7688,15000,3000,1,5164,5164,True,0.811,0.7691661479379214,0.7539876262804943,0.8157609003396845,0.5118066740080925,0.6889632107023411
adult__seed1__noise_only__XGBoost__none,adult,1,noise_only,0.2,0.0,natural,XGBoost,none,0.2886,15000,3000,1,5164,5164,True,0.8658,0.7782386257732575,0.7999265184667823,0.8598073270546637,0.6088315908799978,0.6103678929765887
adult__seed1__noise_only__XGBoost__class_weight,adult,1,noise_only,0.2,0.0,natural,XGBoost,class_weight,0.268,15000,3000,1,5164,5164,True,0.7972,0.8242995403535796,0.7633925863010375,0.8100432397015107,0.5692371625319553,0.8762541806020067
adult__seed1__noise_only__XGBoost__random_oversample,adult,1,noise_only,0.2,0.0,natural,XGBoost,random_oversample,0.3218,15000,3000,1,5164,5164,True,0.7996,0.8198578155717094,0.763911591912563,0.8117898677829517,0.5646138282039794,0.8586956521739131
adult__seed1__noise_only__LightGBM__none,adult,1,noise_only,0.2,0.0,natural,LightGBM,none,0.357,15000,3000,1,5164,5164,True,0.8618,0.7701640413716946,0.7926821416396809,0.8551204425069177,0.5956196623873177,0.5944816053511706
adult__seed1__noise_only__LightGBM__class_weight,adult,1,noise_only,0.2,0.0,natural,LightGBM,class_weight,0.3125,15000,3000,1,5164,5164,True,0.7942,0.8188884961789913,0.7595097532700947,0.807151756151397,0.5602435630722382,0.8662207357859532
adult__seed1__noise_only__LightGBM__random_oversample,adult,1,noise_only,0.2,0.0,natural,LightGBM,random_oversample,0.3603,15000,3000,1,5164,5164,True,0.8022,0.8218531628386243,0.7665026991485258,0.8141234462690602,0.5688279970790426,0.8595317725752508
adult__seed1__missing_only__LogisticRegression__none,adult,1,missing_only,0.0,0.2,natural,LogisticRegression,none,1.0479,15000,0,1,3590,3590,True,0.815,0.6777837270396591,0.7015187564645391,0.7975158641974233,0.4317865106258902,0.41471571906354515
adult__seed1__missing_only__LogisticRegression__class_weight,adult,1,missing_only,0.0,0.2,natural,LogisticRegression,class_weight,1.0487,15000,0,1,3590,3590,True,0.7458,0.7526855202585555,0.7030566844930781,0.7618202937930529,0.4438445476108946,0.7658862876254181
adult__seed1__missing_only__LogisticRegression__random_oversample,adult,1,missing_only,0.0,0.2,natural,LogisticRegression,random_oversample,1.0505,15000,0,1,3590,3590,True,0.7478,0.7585858399361348,0.7065309090909091,0.7639334632727273,0.45322572981518533,0.7792642140468228
adult__seed1__missing_only__RandomForest__none,adult,1,missing_only,0.0,0.2,natural,RandomForest,none,1.2188,15000,0,1,3590,3590,True,0.8538,0.7563078294630894,0.7791454178475035,0.8461213897270049,0.5699420923746287,0.5693979933110368
adult__seed1__missing_only__RandomForest__class_weight,adult,1,missing_only,0.0,0.2,natural,RandomForest,class_weight,1.2302,15000,0,1,3590,3590,True,0.8478,0.7443392626666526,0.7679525874384228,0.8389522642064395,0.5496390491968949,0.5459866220735786
adult__seed1__missing_only__RandomForest__random_oversample,adult,1,missing_only,0.0,0.2,natural,RandomForest,random_oversample,1.6421,15000,0,1,3590,3590,True,0.8412,0.7735362178168378,0.7781186292940193,0.8398276370964189,0.5566130848599266,0.6438127090301003
adult__seed1__missing_only__XGBoost__none,adult,1,missing_only,0.0,0.2,natural,XGBoost,none,0.2692,15000,0,1,3590,3590,True,0.8642,0.7748941441679064,0.7969846206431899,0.8579153503486333,0.6035097018030756,0.6036789297658863
adult__seed1__missing_only__XGBoost__class_weight,adult,1,missing_only,0.0,0.2,natural,XGBoost,class_weight,0.2739,15000,0,1,3590,3590,True,0.8168,0.8260025532004684,0.7790816782306313,0.8266951260401731,0.5840768276576536,0.8436454849498328
adult__seed1__missing_only__XGBoost__random_oversample,adult,1,missing_only,0.0,0.2,natural,XGBoost,random_oversample,0.3179,15000,0,1,3590,3590,True,0.8194,0.825991563184678,0.78111976413873,0.8288647928934846,0.5860621399843076,0.8386287625418061
adult__seed1__missing_only__LightGBM__none,adult,1,missing_only,0.0,0.2,natural,LightGBM,none,0.3456,15000,0,1,3590,3590,True,0.8612,0.773782394170544,0.7939829239748306,0.8553632230902515,0.5959124646197649,0.6061872909698997
adult__seed1__missing_only__LightGBM__class_weight,adult,1,missing_only,0.0,0.2,natural,LightGBM,class_weight,0.3395,15000,0,1,3590,3590,True,0.8218,0.826995611027294,0.7833229274838014,0.8309490333795042,0.5891997517224782,0.8369565217391305
