combination,dataset_name,model_name,seed,label_noise,missing_rate,imbalance_level,metric,p_clean,actual_drop,expected_drop,interaction,bounded_interaction,relative_clean_interaction,pure_three_way_residual
noise_missing,kc2,HistGradientBoosting,1,0.2,0.2,natural,macro_f1,0.7279949444795522,0.18195534051915607,0.09215207660644054,0.08980326391271554,0.08980326391271554,0.12005865089796804,
noise_imbalance,kc2,HistGradientBoosting,1,0.2,0.0,0.8,macro_f1,0.7279949444795522,0.11703744319947018,0.060239880448356375,0.056797562751113806,0.056797562751113806,0.07593308373311669,
missing_imbalance,kc2,HistGradientBoosting,1,0.0,0.2,0.8,macro_f1,0.7279949444795522,0.041782431305268375,0.04788721661054396,-0.006104785305275584,-0.006104785305275584,-0.008161532842341918,
all_three_excess_over_singles,kc2,HistGradientBoosting,1,0.2,0.2,0.8,macro_f1,0.7279949444795522,0.041782431305268375,0.10013958683267044,-0.05835715552740206,-0.05835715552740206,-0.07801811490585196,-0.19885319688595582
noise_missing,kc2,XGBoost,1,0.2,0.2,natural,macro_f1,0.768701793513614,0.22293202929724787,0.1262258633510258,0.09670616594622206,0.09670616594622206,0.12261436038506077,
noise_imbalance,kc2,XGBoost,1,0.2,0.0,0.8,macro_f1,0.768701793513614,0.11149567435097307,0.07679190108687495,0.034703773264098126,0.034703773264098126,0.04400113395139515,
missing_imbalance,kc2,XGBoost,1,0.0,0.2,0.8,macro_f1,0.768701793513614,0.0747765598687542,0.03174320966873734,0.04303335020001686,0.04303335020001686,0.054562257311862004,
all_three_excess_over_singles,kc2,XGBoost,1,0.2,0.2,0.8,macro_f1,0.768701793513614,0.058758154222148695,0.11738048705331905,-0.058622332831170354,-0.058622332831170354,-0.07432762713776998,-0.2330656222415074
noise_missing,kc2,LightGBM,1,0.2,0.2,natural,macro_f1,0.704342330956035,0.10903465791604172,0.01351062348018961,0.09552403443585211,0.09552403443585211,0.13187691834850127,
noise_imbalance,kc2,LightGBM,1,0.2,0.0,0.8,macro_f1,0.704342330956035,0.020767451728981978,0.012856617569174333,0.007910834159807645,0.007910834159807645,0.01092140252160384,
missing_imbalance,kc2,LightGBM,1,0.0,0.2,0.8,macro_f1,0.704342330956035,0.025663085673016228,-0.030832272347854794,0.05649535802087102,0.05649535802087102,0.07799538368316083,
all_three_excess_over_singles,kc2,LightGBM,1,0.2,0.2,0.8,macro_f1,0.704342330956035,0.054367071183645144,-0.0022325156492454257,0.05659958683289057,0.05659958683289057,0.07813927809270332,-0.10333063978364021
noise_missing,kc2,LogisticRegression,2,0.2,0.2,natural,macro_f1,0.7356907720080705,0.017411202115597435,-0.05398077482443853,0.07139197694003596,0.07139197694003596,0.09447247417131821,
noise_imbalance,kc2,LogisticRegression,2,0.2,0.0,0.8,macro_f1,0.7356907720080705,0.18741490993910503,-0.045469757188969506,0.23288466712807454,0.23288466712807454,0.30817455466504945,
missing_imbalance,kc2,LogisticRegression,2,0.0,0.2,0.8,macro_f1,0.7356907720080705,0.012711448699799899,-0.045469757188969506,0.058181205888769405,0.058181205888769405,0.07699075871227927,
all_three_excess_over_singles,kc2,LogisticRegression,2,0.2,0.2,0.8,macro_f1,0.7356907720080705,0.25914792755047106,-0.07246014460118877,0.3316080721516598,0.3316080721516598,0.43881450513215786,-0.03084977780522008
noise_missing,kc2,LinearSVM,2,0.2,0.2,natural,macro_f1,0.763512796007221,0.009826502093317036,0.028229211054967118,-0.018402708961650083,-0.018402708961650083,-0.02348743894857906,
noise_imbalance,kc2,LinearSVM,2,0.2,0.0,0.8,macro_f1,0.763512796007221,0.1499434744732977,0.009826502093317036,0.14011697237998066,0.14011697237998066,0.1788317601116617,
missing_imbalance,kc2,LinearSVM,2,0.0,0.2,0.8,macro_f1,0.763512796007221,0.07131354788692024,0.018402708961650083,0.052910838925270154,0.052910838925270154,0.06753028054538948,
all_three_excess_over_singles,kc2,LinearSVM,2,0.2,0.2,0.8,macro_f1,0.763512796007221,0.3233418558362809,0.028229211054967118,0.29511264478131377,0.29511264478131377,0.37665325478435957,0.12048754243771304
noise_missing,kc2,KNN,2,0.2,0.2,natural,macro_f1,0.7200074342533223,0.07430087576785915,-0.07594272150991754,0.1502435972777767,0.1502435972777767,0.20302984851682546,
noise_imbalance,kc2,KNN,2,0.2,0.0,0.8,macro_f1,0.7200074342533223,0.11036169978692778,0.0,0.11036169978692778,0.11036169978692778,0.14913593388191332,
missing_imbalance,kc2,KNN,2,0.0,0.2,0.8,macro_f1,0.7200074342533223,-0.033678859660581706,-0.07594272150991754,0.04226386184933584,0.04226386184933584,0.05711275305224556,
all_three_excess_over_singles,kc2,KNN,2,0.2,0.2,0.8,macro_f1,0.7200074342533223,0.1448722991181871,-0.07594272150991754,0.22081502062810465,0.22081502062810465,0.29839567875545747,-0.08205413828593566
noise_missing,kc2,DecisionTree,2,0.2,0.2,natural,macro_f1,0.5921245421245421,-0.03113332971381788,-0.09849411082340509,0.06736078110958721,0.06736078110958721,0.11004424177438399,
noise_imbalance,kc2,DecisionTree,2,0.2,0.0,0.8,macro_f1,0.5921245421245421,-0.042157981605217776,-0.03749897996521889,-0.004659001639998883,-0.004659001639998883,-0.007611198897251481,
missing_imbalance,kc2,DecisionTree,2,0.0,0.2,0.8,macro_f1,0.5921245421245421,-0.08130850630850628,-0.036368688118535886,-0.04493981818997039,-0.04493981818997039,-0.07341613527533909,
all_three_excess_over_singles,kc2,DecisionTree,2,0.2,0.2,0.8,macro_f1,0.5921245421245421,0.002850614731802814,-0.08618088945357993,0.08903150418538275,0.08903150418538275,0.14544671559218172,0.07126954290576482
noise_missing,kc2,RandomForest,2,0.2,0.2,natural,macro_f1,0.7033962264150944,-0.031957308938440954,-0.01629503122499587,-0.015662277713445083,-0.015662277713445083,-0.021651035962769676,
noise_imbalance,kc2,RandomForest,2,0.2,0.0,0.8,macro_f1,0.7033962264150944,0.21863713103652999,0.04033543085236557,0.1783017001841644,0.1783017001841644,0.2464786152780572,
missing_imbalance,kc2,RandomForest,2,0.0,0.2,0.8,macro_f1,0.7033962264150944,-0.04154146828895544,-0.12267503137996938,0.08113356309101394,0.08113356309101394,0.11215646436681634,
all_three_excess_over_singles,kc2,RandomForest,2,0.2,0.2,0.8,macro_f1,0.7033962264150944,0.1714391005715057,-0.04931731587629984,0.22075641644780553,0.22075641644780553,0.305166668537655,-0.023016569113927743
noise_missing,kc2,ExtraTrees,2,0.2,0.2,natural,macro_f1,0.7364185110663983,-0.02365474900686171,0.028974525136583495,-0.052629274143445204,-0.052629274143445204,-0.06957692517234737,
noise_imbalance,kc2,ExtraTrees,2,0.2,0.0,0.8,macro_f1,0.7364185110663983,0.2674995921474794,0.08651426069458201,0.1809853314528974,0.1809853314528974,0.2392661321809066,
missing_imbalance,kc2,ExtraTrees,2,0.0,0.2,0.8,macro_f1,0.7364185110663983,-0.00793610281706969,-0.024717581931846366,0.016781479114776676,0.016781479114776676,0.022185442145140205,
all_three_excess_over_singles,kc2,ExtraTrees,2,0.2,0.2,0.8,macro_f1,0.7364185110663983,0.12981190445979174,0.04538560194965957,0.08442630251013217,0.08442630251013217,0.11161321579915862,-0.06071123391409672
noise_missing,kc2,HistGradientBoosting,2,0.2,0.2,natural,macro_f1,0.704342330956035,-0.020980249689126262,-0.02279991663636949,0.0018196669472432259,0.0018196669472432259,0.002512164303364003,
noise_imbalance,kc2,HistGradientBoosting,2,0.2,0.0,0.8,macro_f1,0.704342330956035,0.13526338358761403,0.03315280988239466,0.10211057370521937,0.10211057370521937,0.14097004874814792,
missing_imbalance,kc2,HistGradientBoosting,2,0.0,0.2,0.8,macro_f1,0.704342330956035,0.010417097311175239,-0.10349447970103387,0.11391157701220911,0.11391157701220911,0.15726207366875972,
all_three_excess_over_singles,kc2,HistGradientBoosting,2,0.2,0.2,0.8,macro_f1,0.704342330956035,0.1921501387638429,-0.04657079322750435,0.23872093199134725,0.23872093199134725,0.3295692130491221,0.020879114326675552
noise_missing,kc2,XGBoost,2,0.2,0.2,natural,macro_f1,0.712087912087912,-0.04217356739989486,0.0010516952363823773,-0.04322526263627724,-0.04322526263627724,-0.05904381416843634,
noise_imbalance,kc2,XGBoost,2,0.2,0.0,0.8,macro_f1,0.712087912087912,0.1684242484242484,0.06511019504899418,0.10331405337525423,0.10331405337525423,0.1411224685852317,
missing_imbalance,kc2,XGBoost,2,0.0,0.2,0.8,macro_f1,0.712087912087912,0.010257135244765125,-0.07989754414343231,0.09015467938819743,0.09015467938819743,0.12314734050324178,
all_three_excess_over_singles,kc2,XGBoost,2,0.2,0.2,0.8,macro_f1,0.712087912087912,0.1629237036316682,-0.006867826929027876,0.16979153056069607,0.16979153056069607,0.23192778866741734,0.01954806043352164
noise_missing,kc2,LightGBM,2,0.2,0.2,natural,macro_f1,0.6880952380952381,-0.05835637480798772,-0.018165307612543757,-0.040191067195443964,-0.040191067195443964,-0.0567594089511986,
noise_imbalance,kc2,LightGBM,2,0.2,0.0,0.8,macro_f1,0.6880952380952381,0.050017160017159945,0.05381271436547819,-0.003795554348318242,-0.003795554348318242,-0.0053602314266767365,
missing_imbalance,kc2,LightGBM,2,0.0,0.2,0.8,macro_f1,0.6880952380952381,-0.05684245660881171,-0.07197802197802194,0.015135565369210235,0.015135565369210235,0.021375041879853056,
all_three_excess_over_singles,kc2,LightGBM,2,0.2,0.2,0.8,macro_f1,0.6880952380952381,0.11901629072681708,-0.018165307612543757,0.13718159833936083,0.13718159833936083,0.19373325925531792,0.1660326545139128
